(apple, manzana)
(book, libro)
(car, coche)
(tree, árbol)
(computer, computadora)
(flower, flor)
(pencil, lápiz)
(clock, reloj)
(shoe, zapato)
(dream, sueño)
(morning, mañana)
(reading, leyendo)
(check-up, revisión)
(garage, taller)
(park, parque)
(bloom, florecer)
(work, trabajar)
(leisure, ocio)
(mother, madre)
(bouquet, ramo)
(birthday, cumpleaños)
(carry, llevar)
(case, estuche)
(taking, tomar)
(notes, notas)
(wall, pared)
(shows, muestra)
(wrong, incorrecta)
(time, hora)
(bought, compré)
(pair, par)
(party, fiesta)
(strange, extraño)
(night, noche)
(flying, volando)
(over, sobre)
(mountains, montañas)
